Fylke,Folketall,År,Areal
Østfold,256668,2004,4182
Akershus,488618,2004,4918
Oslo,521886,2004,454
Hedmark,188326,2004,27397
Oppland,183690,2004,25192
Buskerud,242331,2004,14910
Vestfold,219480,2004,2224
Telemark,166124,2004,15299
Aust-Agder,103374,2004,9157
Vest-Agder,160127,2004,7276
Rogaland,388848,2004,9378
Hordaland,445059,2004,15460
Sogn og Fjordane,107222,2004,18623
Møre og Romsdal,244570,2004,15121
Sør-Trøndelag,270266,2004,18848
Nord-Trøndelag,127973,2004,22412
Nordland,237057,2004,38456
Troms,152628,2004,25877
Finnmark,73210,2004,48618
Østfold,278352,2012,4182
Akershus,556254,2012,4918
Oslo,613285,2012,454
Hedmark,192791,2012,27398
Oppland,187147,2012,25192
Buskerud,265164,2012,14911
Vestfold,236424,2012,2224
Telemark,170023,2012,15298
Aust-Agder,111495,2012,9157
Vest-Agder,174324,2012,7277
Rogaland,443115,2012,9376
Hordaland,490570,2012,15440
Sogn og Fjordane,108201,2012,18623
Møre og Romsdal,256628,2012,15115
Sør-Trøndelag,297950,2012,18856
Nord-Trøndelag,133390,2012,22415
Nordland,238320,2012,38462
Troms,158650,2012,25870
Finnmark,73787,2012,48617
Østfold,303546,2020,4181
Akershus,624204,2020,4918
Oslo,699267,2020,454
Hedmark,200462,2020,27398
Oppland,193471,2020,25192
Buskerud,292642,2020,14911
Vestfold,254340,2020,2225
Telemark,176237,2020,15296
Aust-Agder,121697,2020,9158
Vest-Agder,192051,2020,7277
Rogaland,498970,2020,9376
Hordaland,544030,2020,15438
Sogn og Fjordane,111374,2020,18623
Møre og Romsdal,275221,2020,15101
Sør-Trøndelag,325376,2020,18839
Nord-Trøndelag,141233,2020,22415
Nordland,248576,2020,38482
Troms,169390,2020,25863
Finnmark,78017,2020,48631
Østfold,327829,2028,4181
Akershus,683391,2028,4918
Oslo,763141,2028,454
Hedmark,210161,2028,27398
Oppland,201644,2028,25192
Buskerud,317977,2028,14911
Vestfold,272405,2028,2225
Telemark,183551,2028,15296
Aust-Agder,132620,2028,9158
Vest-Agder,209025,2028,7277
Rogaland,544644,2028,9376
Hordaland,589927,2028,15438
Sogn og Fjordane,115016,2028,18623
Møre og Romsdal,292171,2028,15101
Sør-Trøndelag,348721,2028,18839
Nord-Trøndelag,149954,2028,22415
Nordland,257715,2028,38482
Troms,176790,2028,25863
Finnmark,80549,2028,48631
Østfold,348489,2036,4181
Akershus,732114,2036,4918
Oslo,809750,2036,454
Hedmark,218665,2036,27398
Oppland,208854,2036,25192
Buskerud,338890,2036,14911
Vestfold,287630,2036,2225
Telemark,189577,2036,15296
Aust-Agder,141641,2036,9158
Vest-Agder,223454,2036,7277
Rogaland,582052,2036,9376
Hordaland,628573,2036,15438
Sogn og Fjordane,118096,2036,18623
Møre og Romsdal,305745,2036,15101
Sør-Trøndelag,367452,2036,18839
Nord-Trøndelag,157132,2036,22415
Nordland,264680,2036,38482
Troms,182083,2036,25863
Finnmark,82570,2036,48631
