Fylke,Folketall,År,Areal
Østfold,256668,2004,4182
Akershus,488618,2004,4918
Oslo,521886,2004,454
Hedmark,188326,2004,27397
Oppland,183690,2004,25192
Buskerud,242331,2004,14910
Vestfold,219480,2004,2224
Telemark,166124,2004,15299
Aust-Agder,103374,2004,9157
Vest-Agder,160127,2004,7276
Rogaland,388848,2004,9378
Hordaland,445059,2004,15460
Sogn og Fjordane,107222,2004,18623
Møre og Romsdal,244570,2004,15121
Sør-Trøndelag,270266,2004,18848
Nord-Trøndelag,127973,2004,22412
Nordland,237057,2004,38456
Troms,152628,2004,25877
Finnmark,73210,2004,48618
Østfold,278352,2012,4182
Akershus,556254,2012,4918
Oslo,613285,2012,454
Hedmark,192791,2012,27398
Oppland,187147,2012,25192
Buskerud,265164,2012,14911
Vestfold,236424,2012,2224
Telemark,170023,2012,15298
Aust-Agder,111495,2012,9157
Vest-Agder,174324,2012,7277
Rogaland,443115,2012,9376
Hordaland,490570,2012,15440
Sogn og Fjordane,108201,2012,18623
Møre og Romsdal,256628,2012,15115
Sør-Trøndelag,297950,2012,18856
Nord-Trøndelag,133390,2012,22415
Nordland,238320,2012,38462
Troms,158650,2012,25870
Finnmark,73787,2012,48617
Østfold,302032,2020,4181
Akershus,629709,2020,4918
Oslo,706719,2020,454
Hedmark,198936,2020,27398
Oppland,192244,2020,25192
Buskerud,291052,2020,14911
Vestfold,254719,2020,2225
Telemark,175915,2020,15296
Aust-Agder,121141,2020,9158
Vest-Agder,191848,2020,7277
Rogaland,490043,2020,9377
Hordaland,539467,2020,15437
Sogn og Fjordane,111466,2020,18619
Møre og Romsdal,273010,2020,15100
Sør-Trøndelag,326574,2020,18840
Nord-Trøndelag,140155,2020,22415
Nordland,245033,2020,38482
Troms,168547,2020,25872
Finnmark,76803,2020,48631
Østfold,324282,2028,4181
Akershus,689626,2028,4918
Oslo,773932,2028,454
Hedmark,207835,2028,27398
Oppland,200091,2028,25192
Buskerud,315215,2028,14911
Vestfold,272795,2028,2225
Telemark,182604,2028,15296
Aust-Agder,131422,2028,9158
Vest-Agder,208388,2028,7277
Rogaland,533640,2028,9377
Hordaland,581576,2028,15437
Sogn og Fjordane,113973,2028,18619
Møre og Romsdal,286923,2028,15100
Sør-Trøndelag,349041,2028,18840
Nord-Trøndelag,147444,2028,22415
Nordland,250973,2028,38482
Troms,174504,2028,25872
Finnmark,78309,2028,48631
Østfold,344841,2036,4181
Akershus,743908,2036,4918
Oslo,829650,2036,454
Hedmark,216920,2036,27398
Oppland,208173,2036,25192
Buskerud,337138,2036,14911
Vestfold,289428,2036,2225
Telemark,189165,2036,15296
Aust-Agder,140757,2036,9158
Vest-Agder,223698,2036,7277
Rogaland,573528,2036,9377
Hordaland,620379,2036,15437
Sogn og Fjordane,116887,2036,18619
Møre og Romsdal,299951,2036,15100
Sør-Trøndelag,368883,2036,18840
Nord-Trøndelag,154156,2036,22415
Nordland,256720,2036,38482
Troms,179701,2036,25872
Finnmark,80088,2036,48631
